reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,text.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,4,1,29,4,638.7448009999935,,638.7175563999917,638.7448009999935,639.7289669999882,639.7289669999882,639.7459915999934,671.6627494999993,t,27.730933800005005,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,4,2,30,1,671.6747424999921,,671.663439099997,671.6747424999921,672.6746888999915,672.6746888999915,672.6746888999915,675.6472198999982,l,-1.222766299993964,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,4,3,31,5,675.6595241999894,,675.6478725999914,675.6595241999894,676.660862699995,676.660862699995,676.660862699995,678.2484073999949,t,-2.6135293999832356,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,4,4,32,6,678.260978499995,,678.2488003999897,678.260978499995,679.2615890999878,679.2615890999878,679.2615890999878,688.4335124999925,t,4.978644800008624,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,4,5,33,2,688.4472861999966,,688.4339181999967,688.4472861999966,689.4483720999997,689.4483720999997,689.4483720999997,773.1201867999916,l,79.47869709999941,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,4,6,34,0,773.1473944999889,,773.1208678999974,773.1473944999889,774.1315541999938,774.1315541999938,774.1486161999928,776.6008760999975,l,-1.730410899996059,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,5,0,35,3,776.6158597999893,,776.6013068999891,776.6158597999893,777.5997578999959,777.5997578999959,777.615490799988,781.6058457999898,t,-0.1874966999894241,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,5,1,36,6,781.6180744000012,,781.6063012999948,781.6180744000012,782.6189549999981,782.6189549999981,782.6189549999981,783.6710860999883,t,-3.1456161999958567,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,5,2,37,1,783.6846278999874,,783.6715648999962,783.6846278999874,784.6855704999907,784.6855704999907,784.6855704999907,786.3896542000002,l,-2.493568399993819,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,5,3,38,2,786.4028285999957,,786.3900466999912,786.4028285999957,787.4026656999922,787.4026656999922,787.4026656999922,789.4920453999948,l,-2.1181563999998616,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,5,4,39,4,789.5032178999973,,789.4927135999897,789.5032178999973,790.5043044999911,790.5043044999911,790.5043044999911,794.3951722999918,t,-0.3027753000060329,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,5,5,40,0,794.4052782999934,,794.3958822999994,794.4052782999934,795.4067270999949,795.4067270999949,795.4067270999949,826.591253599996,l,26.986892300003092,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,5,6,41,5,826.6185952999949,,826.591935199991,826.6185952999949,827.6028521999979,827.6028521999979,827.6182323999965,890.3989976000012,l,58.5997997999948,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
15,35,13,6,0,42,1,890.4279696999874,,890.3997703999921,890.4279696999874,891.4114552999963,891.4114552999963,891.4268490999966,895.7680255000014,l,0.16370740000274964,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
40,55,62,6,1,43,3,895.7792746999912,,895.7687200999935,895.7792746999912,896.7786310999945,896.7786310999945,896.7786310999945,930.8319952999882,t,29.859052100000554,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
67,75,119,6,2,44,5,930.8599518999981,,930.8325986999989,930.8599518999981,931.8439945999999,931.8439945999999,931.8602684999933,958.1595325999951,t,22.118841000003158,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
27,50,21,6,3,45,2,958.1699967999884,,958.1600720999995,958.1699967999884,959.1703383999993,959.1703383999993,959.1703383999993,1073.5876490999945,l,110.22059669998998,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
11,30,7,6,4,46,0,1073.5991521999968,,1073.588343299998,1073.5991521999968,1074.5998839999957,1074.5998839999957,1074.5998839999957,1129.226638799999,l,50.428221800000756,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
49,60,89,6,5,47,4,1129.237123599989,,1129.2273079000006,1129.237123599989,1130.238397699999,1130.238397699999,1130.238397699999,1134.7769341999956,t,0.3439151999918977,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
78,80,162,6,6,48,6,1134.7898894999962,,1134.7773406999913,1134.7898894999962,1135.790919799998,1135.790919799998,1135.790919799998,1137.9631515999936,t,-2.030152499995893,None,dvdvd,001,2024-11-21_17h56.55.204,delay_discount,2024.1.5,None,2024-11-21 17h57.18.969067 +0530,
